epochs,degree,training_time,training_error,test_error
1,1,0.11062479019165039,0.2033195048570633,0.27070000767707825
1,2,0.07215738296508789,0.062240663915872574,0.1688999980688095
1,3,0.07117986679077148,0.062240663915872574,0.16369999945163727
1,4,0.0716860294342041,0.0456431545317173,0.15299999713897705
1,5,0.09079337120056152,0.02489626593887806,0.14390000700950623
1,6,0.06963872909545898,0.033195022493600845,0.16120000183582306
2,1,0.14397144317626953,0.0912863090634346,0.1949000060558319
2,2,0.14316749572753906,0.029045643284916878,0.1428000032901764
2,3,0.1703038215637207,0.008298755623400211,0.12919999659061432
2,4,0.14696884155273438,0.004149377811700106,0.1137000024318695
2,5,0.15008211135864258,0.004149377811700106,0.11420000344514847
2,6,0.14364290237426758,0.01244813296943903,0.1307000070810318
3,1,0.21718072891235352,0.016597511246800423,0.15549999475479126
3,2,0.2098386287689209,0.004149377811700106,0.12680000066757202
3,3,0.21201014518737793,0.008298755623400211,0.11500000208616257
3,4,0.2073049545288086,0.0,0.10840000212192535
3,5,0.20650196075439453,0.004149377811700106,0.1200999990105629
3,6,0.2095661163330078,0.004149377811700106,0.12800000607967377
4,1,0.282336950302124,0.0456431545317173,0.17270000278949738
4,2,0.2502748966217041,0.004149377811700106,0.12129999697208405
4,3,0.24663925170898438,0.008298755623400211,0.1200999990105629
4,4,0.24574828147888184,0.0,0.10660000145435333
4,5,0.24416494369506836,0.0,0.11140000075101852
4,6,0.22647333145141602,0.0,0.1234000027179718
5,1,0.3493466377258301,0.029045643284916878,0.16359999775886536
5,2,0.2554512023925781,0.004149377811700106,0.1216999962925911
5,3,0.2688171863555908,0.0,0.11649999767541885
5,4,0.23483920097351074,0.0,0.10660000145435333
5,5,0.24998950958251953,0.0,0.11209999769926071
5,6,0.25190305709838867,0.0,0.12330000102519989
6,1,0.3892171382904053,0.06639004498720169,0.19009999930858612
6,2,0.2818624973297119,0.0,0.12349999696016312
6,3,0.29545140266418457,0.0,0.11699999868869781
6,4,0.24530839920043945,0.0,0.10660000145435333
6,5,0.2637364864349365,0.0,0.11129999905824661
6,6,0.2569694519042969,0.0,0.12330000102519989
7,1,0.42000484466552734,0.004149377811700106,0.14820000529289246
7,2,0.2944161891937256,0.0,0.12349999696016312
7,3,0.3002297878265381,0.0,0.11699999868869781
7,4,0.24396967887878418,0.0,0.10660000145435333
7,5,0.2715628147125244,0.0,0.11129999905824661
7,6,0.26412057876586914,0.0,0.12330000102519989
8,1,0.43654704093933105,0.004149377811700106,0.15109999477863312
8,2,0.28314685821533203,0.0,0.12349999696016312
8,3,0.2964596748352051,0.0,0.11699999868869781
8,4,0.2372896671295166,0.0,0.10660000145435333
8,5,0.27257704734802246,0.0,0.11129999905824661
8,6,0.24999451637268066,0.0,0.12330000102519989
9,1,0.501683235168457,0.004149377811700106,0.1509000062942505
9,2,0.27815914154052734,0.0,0.12349999696016312
9,3,0.2878549098968506,0.0,0.11699999868869781
9,4,0.23166656494140625,0.0,0.10660000145435333
9,5,0.2799835205078125,0.0,0.11129999905824661
9,6,0.24797415733337402,0.0,0.12330000102519989
10,1,0.5020365715026855,0.0,0.14890000224113464
10,2,0.28676414489746094,0.0,0.12349999696016312
10,3,0.29959869384765625,0.0,0.11699999868869781
10,4,0.23987054824829102,0.0,0.10660000145435333
10,5,0.26810407638549805,0.0,0.11129999905824661
10,6,0.24736404418945312,0.0,0.12330000102519989
